tag,version,batch_size,dropout,kernel_size,activation,optimizer,epochs_trained,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
v1_bs16_k5_do0.3_act-relu_opt-adamax_seed27,v1,16,0.3,5,relu,adamax,10,0.0,1.0,1.0,1.0,1.0,"[[210, 0], [0, 210]]"
v1_bs16_k3_do0.3_act-elu_opt-adamax_seed27,v1,16,0.3,3,elu,adamax,11,0.0009649379062466323,1.0,1.0,1.0,1.0,"[[210, 0], [0, 210]]"
v1_bs16_k5_do0.5_act-elu_opt-adamax_seed27,v1,16,0.5,5,elu,adamax,12,0.0025972097646445036,1.0,1.0,1.0,1.0,"[[210, 0], [0, 210]]"
v1_bs16_k5_do0.3_act-elu_opt-adamax_seed27,v1,16,0.3,5,elu,adamax,8,0.006746016442775726,0.9976190328598022,0.995260663507109,1.0,0.997624703087886,"[[209, 1], [0, 210]]"
v1_bs16_k3_do0.3_act-relu_opt-adamax_seed27,v1,16,0.3,3,relu,adamax,9,0.03895135596394539,0.9976190328598022,1.0,0.9952380952380953,0.9976133651551313,"[[210, 0], [1, 209]]"
v1_bs16_k3_do0.5_act-elu_opt-adam_seed27,v1,16,0.5,3,elu,adam,10,0.06484443694353104,0.9976190328598022,1.0,0.9952380952380953,0.9976133651551313,"[[210, 0], [1, 209]]"
v1_bs16_k3_do0.5_act-relu_opt-adamax_seed27,v1,16,0.5,3,relu,adamax,7,0.22992852330207825,0.9976190328598022,1.0,0.9952380952380953,0.9976133651551313,"[[210, 0], [1, 209]]"
v1_bs16_k3_do0.3_act-relu_opt-adam_seed27,v1,16,0.3,3,relu,adam,12,0.2330871820449829,0.9976190328598022,0.995260663507109,1.0,0.997624703087886,"[[209, 1], [0, 210]]"
v1_bs16_k3_do0.5_act-elu_opt-adamax_seed27,v1,16,0.5,3,elu,adamax,7,0.02682594582438469,0.9952380657196045,1.0,0.9904761904761905,0.9952153110047847,"[[210, 0], [2, 208]]"
v1_bs16_k3_do0.5_act-relu_opt-adam_seed27,v1,16,0.5,3,relu,adam,11,0.74972003698349,0.9952380657196045,1.0,0.9904761904761905,0.9952153110047847,"[[210, 0], [2, 208]]"
v1_bs16_k5_do0.5_act-elu_opt-adam_seed27,v1,16,0.5,5,elu,adam,9,0.023835454136133194,0.9928571581840515,1.0,0.9857142857142858,0.9928057553956835,"[[210, 0], [3, 207]]"
v1_bs16_k5_do0.5_act-relu_opt-adamax_seed27,v1,16,0.5,5,relu,adamax,13,1.1104984283447266,0.9928571581840515,1.0,0.9857142857142858,0.9928057553956835,"[[210, 0], [3, 207]]"
v1_bs16_k3_do0.3_act-elu_opt-adam_seed27,v1,16,0.3,3,elu,adam,9,0.15753190219402313,0.9833333492279053,0.9903381642512077,0.9761904761904762,0.9832134292565946,"[[208, 2], [5, 205]]"
v1_bs16_k5_do0.3_act-elu_opt-adam_seed27,v1,16,0.3,5,elu,adam,8,0.060381799936294556,0.9785714149475098,1.0,0.9571428571428572,0.9781021897810218,"[[210, 0], [9, 201]]"
v1_bs16_k5_do0.5_act-relu_opt-adam_seed27,v1,16,0.5,5,relu,adam,7,3.6701066493988037,0.949999988079071,0.9276018099547512,0.9761904761904762,0.9512761020881672,"[[194, 16], [5, 205]]"
v1_bs16_k5_do0.3_act-relu_opt-adam_seed27,v1,16,0.3,5,relu,adam,6,6.339631080627441,0.9071428775787354,1.0,0.8142857142857143,0.8976377952755905,"[[210, 0], [39, 171]]"
